category,origin,local
,"Give Up","放棄"
,"You are attacking {c%s{n! You are in combat.","你正在攻擊{c%s{n！你進入了戰鬥。"
,"{c%s{n is attacking you! You are in combat.","{c%s{n正在攻擊你！你進入了戰鬥。"
,"%(c)s tried to escape, but failed.","%(c)s想要逃跑，但是失敗了。"
,"%(c)s tried to escape. Succeeded!","%(c)s想要逃跑。成功了！"
,"%s hitted %s.","%s打了%s。"
,"%s lost %s HPs.","%s損失了%s點生命。"
,"%s healed %s HPs.","%s治療了%s點生命。"
,"Data applied! The server is reloading.","數據已應用，服務器正在重載。"
,"%s has gone.","%s已經離開。"
,"Sorry, %s is not enough.","對不起，%s不足。"
,"Sorry, you can not take more %s.","對不起，您無法獲得更多的%s。"
,"Sorry, there is already a player with the name ‘%s'.","對不起，已經有名為「%s」的用戶了。"
,"You say, ‘%s'","你說：%s"
,"%s says, ‘%s'","%s說：%s"
,"You should choose a channel to say.","你需要選擇一個說話頻道。"
,"You should say something.","你需要說點什麼。"
,"You can not say here.","你不能在這裡說話。"
,"Cmd","命令"
,"Say","說話"
,"You can not attack in this place.","你不能在這裡攻擊。"
,"LEVEL","等級"
,"EXP","經驗"
,"HP","生命"
,"Incorrect password.","密碼錯誤。"
,"Please select a character","請選擇一個角色。"
,"MAX EXP","最大經驗值"
,"Can not cast this skill.","無法施放這個技能。"
,"You can not access this channel.","你無法使用這個頻道。"
,"{rCould not unpuppet from {c%s{n: %s","{r無法登出角色 {c%s{n: %s"
,"You should select a skill to cast.","你必須選擇一個技能來施放。"
,"Can not find this shop.","無法找到這個商店。"
,"{rA character named ‘{w%s{r' already exists.{n","{r名為'{w%s{r'的角色已經存在了。{n"
,"Not enough number.","數量不足。"
,"GOTO","前往"
,"{rYou cannot become {C%s{n: %s","{r你無法成為 {C%s{n: %s"
,"Character ‘%s' was permanently deleted.","角色 ‘%s' 已經被永久刪除了。"
,"You should shopping in someplace.","你必須在某個地方購物。"
,"Can not buy this goods.","無法購買這個商品。"
,"You should puppet a character.","你必須操縱一個角色。"
,"That is not a valid character choice.","你選擇的不是一個有效的角色。"
,"You may only create a maximum of %i characters.","你最多只能創建 %i 個角色。"
,"MAX HP","最大生命值。"
,"Name should not be empty.","名字不得為空。"
,"You should give up a quest.","你需要放棄一個任務。"
,"You can not talk in this channel.","你無法在這個頻道中說話。"
,"Can not find this object.","無法找到這個物體。"
,"You should buy something.","你需要買某樣東西。"
,"Can not find exit.","無法找到出口。"
,"You should discard something.","你需要丟棄某樣東西。"
,"{RYou made too many connection attempts. Try again in a few minutes.{n","{R你嘗試連接的次數過多，請在幾分鐘之後重試。{n"
,"Please input password.","請輸入密碼。"
,"Data applied.","數據已應用。"
,"You should give the character a name.","你需要給角色一個名字。"
,"Can not find this goods.","無法找到這件商品。"
,"There was an error creating the Player: %s","創建玩家時出錯：%s"
,"You have no such character to delete.","你沒有這個角色。"
,"Aborting - there are two characters with the same name. Ask an admin to delete the right one.","終止：你有兩個同名的角色，請聯繫管理員刪除其中的一個角色。"
,"Can not delete this character.","無法刪除這個角色。"
